name,level,notes,type,grade
流れ星キセキ,14,150,All,REGULAR
流れ星キセキ,8,96,All,DEBUTE
TOKIMEKIエスカレート,28,800,Passion,MASTER
TOKIMEKIエスカレート,19,494,Passion,PRO
TOKIMEKIエスカレート,14,240,Passion,REGULAR
TOKIMEKIエスカレート,9,140,Passion,DEBUTE
Snow Wings,26,682,All,MASTER
Snow Wings,17,383,All,PRO
Snow Wings,14,202,All,REGULAR
Snow Wings,8,121,All,DEBUTE
Naked Romance,26,674,Cute,MASTER
Naked Romance,17,333,Cute,PRO
Naked Romance,13,200,Cute,REGULAR
Naked Romance,7,110,Cute,DEBUTE
ゴキゲンParty Night,29,900,All,Legend_MASTER_PLUS
ゴキゲンParty Night,26,632,All,MASTER
ゴキゲンParty Night,18,405,All,PRO
ゴキゲンParty Night,14,234,All,REGULAR
ゴキゲンParty Night,8,117,All,DEBUTE
Angel Breeze,24,524,Cool,MASTER
Angel Breeze,17,352,Cool,PRO
Angel Breeze,14,216,Cool,REGULAR
Angel Breeze,9,118,Cool,DEBUTE
パステルピンクな恋,26,684,Cute,MASTER
パステルピンクな恋,18,396,Cute,PRO
パステルピンクな恋,14,207,Cute,REGULAR
パステルピンクな恋,8,113,Cute,DEBUTE
アップルパイ・プリンセス,23,562,Passion,MASTER
アップルパイ・プリンセス,17,376,Passion,PRO
アップルパイ・プリンセス,11,196,Passion,REGULAR
アップルパイ・プリンセス,6,105,Passion,DEBUTE
Tulip,30,869,All,Legend_MASTER_PLUS
Tulip,26,659,All,MASTER
Tulip,18,351,All,PRO
Tulip,14,184,All,REGULAR
Tulip,8,115,All,DEBUTE
エヴリデイドリーム,25,552,Cute,MASTER
エヴリデイドリーム,17,342,Cute,PRO
エヴリデイドリーム,13,175,Cute,REGULAR
エヴリデイドリーム,8,114,Cute,DEBUTE
ゴキゲンParty Night（PASSION VERSION）,25,630,Passion,MASTER
ゴキゲンParty Night（PASSION VERSION）,17,380,Passion,PRO
ゴキゲンParty Night（PASSION VERSION）,13,236,Passion,REGULAR
ゴキゲンParty Night（PASSION VERSION）,8,113,Passion,DEBUTE
ゴキゲンParty Night（COOL VERSION）,25,630,Cool,MASTER
ゴキゲンParty Night（COOL VERSION）,17,380,Cool,PRO
ゴキゲンParty Night（COOL VERSION）,13,252,Cool,REGULAR
ゴキゲンParty Night（COOL VERSION）,8,116,Cool,DEBUTE
ゴキゲンParty Night（CUTE VERSION）,25,548,Cute,MASTER
ゴキゲンParty Night（CUTE VERSION）,17,416,Cute,PRO
ゴキゲンParty Night（CUTE VERSION）,13,206,Cute,REGULAR
ゴキゲンParty Night（CUTE VERSION）,8,123,Cute,DEBUTE
オルゴールの小箱,25,531,Cool,MASTER
オルゴールの小箱,16,321,Cool,PRO
オルゴールの小箱,11,145,Cool,REGULAR
オルゴールの小箱,6,84,Cool,DEBUTE
Bright Blue,23,389,Cool,MASTER
Bright Blue,16,240,Cool,PRO
Bright Blue,11,144,Cool,REGULAR
Bright Blue,6,81,Cool,DEBUTE
Absolute NIne,30,999,All,Legend_MASTER_PLUS
Absolute NIne,26,622,All,MASTER
Absolute NIne,18,347,All,PRO
Absolute NIne,13,195,All,REGULAR
Absolute NIne,9,133,All,DEBUTE
Rockin’ Emotion,26,675,Passion,MASTER
Rockin’ Emotion,18,396,Passion,PRO
Rockin’ Emotion,13,210,Passion,REGULAR
Rockin’ Emotion,9,148,Passion,DEBUTE
絶対特権主張しますっ！,27,777,Passion,MASTER
絶対特権主張しますっ！,19,476,Passion,PRO
絶対特権主張しますっ！,14,249,Passion,REGULAR
絶対特権主張しますっ！,9,167,Passion,DEBUTE
花簪 HANAKANZASHI,27,645,Cute,MASTER
花簪 HANAKANZASHI,19,340,Cute,PRO
花簪 HANAKANZASHI,13,168,Cute,REGULAR
花簪 HANAKANZASHI,6,91,Cute,DEBUTE
ハイファイ☆デイズ,28,795,All,Legend_MASTER_PLUS
ハイファイ☆デイズ,24,554,All,MASTER
ハイファイ☆デイズ,18,415,All,PRO
ハイファイ☆デイズ,13,203,All,REGULAR
ハイファイ☆デイズ,7,116,All,DEBUTE
Hotel Moonside,27,779,Cool,MASTER
Hotel Moonside,19,410,Cool,PRO
Hotel Moonside,14,256,Cool,REGULAR
Hotel Moonside,9,138,Cool,DEBUTE
つぼみ,26,440,All,MASTER
つぼみ,18,325,All,PRO
つぼみ,14,166,All,REGULAR
つぼみ,8,109,All,DEBUTE
お散歩カメラ,26,610,Passion,MASTER
お散歩カメラ,18,381,Passion,PRO
お散歩カメラ,13,197,Passion,REGULAR
お散歩カメラ,8,110,Passion,DEBUTE
生存本能ヴァルキュリア,30,931,All,Legend_MASTER_PLUS
生存本能ヴァルキュリア,26,656,All,MASTER
生存本能ヴァルキュリア,19,412,All,PRO
生存本能ヴァルキュリア,13,207,All,REGULAR
生存本能ヴァルキュリア,9,115,All,DEBUTE
メルヘンデビュー！,27,747,Cute,MASTER
メルヘンデビュー！,17,377,Cute,PRO
メルヘンデビュー！,13,177,Cute,REGULAR
メルヘンデビュー！,7,77,Cute,DEBUTE
明日また会えるよね,25,553,Cute,MASTER
明日また会えるよね,17,390,Cute,PRO
明日また会えるよね,13,180,Cute,REGULAR
明日また会えるよね,8,112,Cute,DEBUTE
2nd SIDE,25,527,Cool,MASTER
2nd SIDE,17,291,Cool,PRO
2nd SIDE,12,168,Cool,REGULAR
2nd SIDE,7,95,Cool,DEBUTE
純情Midnight伝説,29,922,All,Legend_MASTER_PLUS
純情Midnight伝説,25,651,All,MASTER
純情Midnight伝説,18,426,All,PRO
純情Midnight伝説,13,204,All,REGULAR
純情Midnight伝説,8,121,All,DEBUTE
熱血乙女A,22,500,Passion,MASTER
熱血乙女A,16,323,Passion,PRO
熱血乙女A,11,189,Passion,REGULAR
熱血乙女A,6,87,Passion,DEBUTE
咲いてJewel,28,822,Cool,Legend_MASTER_PLUS
咲いてJewel,25,573,Cool,MASTER
咲いてJewel,18,380,Cool,PRO
咲いてJewel,14,218,Cool,REGULAR
咲いてJewel,8,112,Cool,DEBUTE
き・ま・ぐ・れ☆Cafe au lait！,25,537,Cute,MASTER
き・ま・ぐ・れ☆Cafe au lait！,17,327,Cute,PRO
き・ま・ぐ・れ☆Cafe au lait！,13,187,Cute,REGULAR
き・ま・ぐ・れ☆Cafe au lait！,7,91,Cute,DEBUTE
Love∞Destiny,29,719,All,Legend_MASTER_PLUS
Love∞Destiny,26,613,All,MASTER
Love∞Destiny,19,381,All,PRO
Love∞Destiny,14,241,All,REGULAR
Love∞Destiny,8,123,All,DEBUTE
薄荷 -ハッカ-,24,400,Cool,MASTER
薄荷 -ハッカ-,17,232,Cool,PRO
薄荷 -ハッカ-,13,121,Cool,REGULAR
薄荷 -ハッカ-,6,73,Cool,DEBUTE
きみにいっぱい☆,28,780,Passion,Legend_MASTER_PLUS
きみにいっぱい☆,25,514,Passion,MASTER
きみにいっぱい☆,18,314,Passion,PRO
きみにいっぱい☆,14,196,Passion,REGULAR
きみにいっぱい☆,8,101,Passion,DEBUTE
毒茸伝説,28,700,Passion,MASTER
毒茸伝説,19,405,Passion,PRO
毒茸伝説,14,183,Passion,REGULAR
毒茸伝説,9,115,Passion,DEBUTE
サマカニ！！,30,971,All,Legend_MASTER_PLUS
サマカニ！！,26,697,All,MASTER
サマカニ！！,19,433,All,PRO
サマカニ！！,14,204,All,REGULAR
サマカニ！！,8,125,All,DEBUTE
秘密のトワレ,28,773,Cute,MASTER
秘密のトワレ,19,368,Cute,PRO
秘密のトワレ,13,206,Cute,REGULAR
秘密のトワレ,9,127,Cute,DEBUTE
Near to You,29,858,All,Legend_MASTER_PLUS
Near to You,26,566,All,MASTER
Near to You,17,358,All,PRO
Near to You,13,177,All,REGULAR
Near to You,8,108,All,DEBUTE
小さな恋の密室事件,27,496,Cool,MASTER
小さな恋の密室事件,17,276,Cool,PRO
小さな恋の密室事件,13,168,Cool,REGULAR
小さな恋の密室事件,7,95,Cool,DEBUTE
BEYOND THE STARLi,29,814,All,Legend_MASTER_PLUS
BEYOND THE STARLi,26,600,All,MASTER
BEYOND THE STARLi,17,346,All,PRO
BEYOND THE STARLi,13,199,All,REGULAR
BEYOND THE STARLi,7,105,All,DEBUTE
ラブレター,29,791,Cute,Legend_MASTER_PLUS
ラブレター,26,546,Cute,MASTER
ラブレター,18,329,Cute,PRO
ラブレター,13,208,Cute,REGULAR
ラブレター,8,115,Cute,DEBUTE
Can’t Stop！！,25,618,Passion,MASTER
Can’t Stop！！,18,386,Passion,PRO
Can’t Stop！！,13,222,Passion,REGULAR
Can’t Stop！！,7,125,Passion,DEBUTE
Near to You（PASSION VERSION）,25,582,Passion,MASTER
Near to You（PASSION VERSION）,17,402,Passion,PRO
Near to You（PASSION VERSION）,13,210,Passion,REGULAR
Near to You（PASSION VERSION）,8,118,Passion,DEBUTE
Near to You（COOL VERSION）,25,516,Cool,MASTER
Near to You（COOL VERSION）,17,331,Cool,PRO
Near to You（COOL VERSION）,13,154,Cool,REGULAR
Near to You（COOL VERSION）,8,107,Cool,DEBUTE
Near to You（CUTE VERSION）,25,558,Cute,MASTER
Near to You（CUTE VERSION）,17,377,Cute,PRO
Near to You（CUTE VERSION）,13,175,Cute,REGULAR
Near to You（CUTE VERSION）,8,106,Cute,DEBUTE
STORY,28,771,All,Legend_MASTER_PLUS
STORY,25,547,All,MASTER
STORY,17,342,All,PRO
STORY,13,223,All,REGULAR
STORY,7,116,All,DEBUTE
キミとボクのミライ,25,545,All,MASTER
キミとボクのミライ,18,321,All,PRO
キミとボクのミライ,14,224,All,REGULAR
キミとボクのミライ,8,125,All,DEBUTE
Jet to the Future,29,784,Cool,Legend_MASTER_PLUS
Jet to the Future,26,599,Cool,MASTER
Jet to the Future,18,365,Cool,PRO
Jet to the Future,13,158,Cool,REGULAR
Jet to the Future,8,99,Cool,DEBUTE
恋色エナジー,25,606,Cute,MASTER
恋色エナジー,19,347,Cute,PRO
恋色エナジー,14,216,Cute,REGULAR
恋色エナジー,8,120,Cute,DEBUTE
あいくるしい,28,573,All,Legend_MASTER_PLUS
あいくるしい,25,468,All,MASTER
あいくるしい,17,288,All,PRO
あいくるしい,13,178,All,REGULAR
あいくるしい,7,94,All,DEBUTE
青の一番星,27,677,Cool,MASTER
青の一番星,19,359,Cool,PRO
青の一番星,13,160,Cool,REGULAR
青の一番星,7,97,Cool,DEBUTE
Flip Flop,29,844,Passion,Legend_MASTER_PLUS
Flip Flop,25,631,Passion,MASTER
Flip Flop,18,371,Passion,PRO
Flip Flop,13,207,Passion,REGULAR
Flip Flop,7,119,Passion,DEBUTE
Treasure☆,24,541,All,MASTER
Treasure☆,16,267,All,PRO
Treasure☆,11,151,All,REGULAR
Treasure☆,6,84,All,DEBUTE
EVERMORE,29,861,All,Legend_MASTER_PLUS
EVERMORE,27,675,All,MASTER
EVERMORE,19,427,All,PRO
EVERMORE,14,210,All,REGULAR
EVERMORE,8,120,All,DEBUTE
気持ちいいよね 一等賞！,26,689,Passion,MASTER
気持ちいいよね 一等賞！,17,338,Passion,PRO
気持ちいいよね 一等賞！,14,186,Passion,REGULAR
気持ちいいよね 一等賞！,9,117,Passion,DEBUTE
あんきら！？狂騒曲,30,957,Cute,Legend_MASTER_PLUS
あんきら！？狂騒曲,26,785,Cute,MASTER
あんきら！？狂騒曲,19,495,Cute,PRO
あんきら！？狂騒曲,14,260,Cute,REGULAR
あんきら！？狂騒曲,9,150,Cute,DEBUTE
ラヴィアンローズ,24,499,Cute,MASTER
ラヴィアンローズ,18,352,Cute,PRO
ラヴィアンローズ,12,153,Cute,REGULAR
ラヴィアンローズ,8,95,Cute,DEBUTE
命燃やして恋せよ乙女,29,739,All,Legend_MASTER_PLUS
命燃やして恋せよ乙女,25,529,All,MASTER
命燃やして恋せよ乙女,17,293,All,PRO
命燃やして恋せよ乙女,12,155,All,REGULAR
命燃やして恋せよ乙女,8,85,All,DEBUTE
Lunatic Show,29,783,Cool,Legend_MASTER_PLUS
Lunatic Show,26,568,Cool,MASTER
Lunatic Show,19,361,Cool,PRO
Lunatic Show,13,164,Cool,REGULAR
Lunatic Show,7,88,Cool,DEBUTE
in fact,24,403,Cool,MASTER
in fact,18,276,Cool,PRO
in fact,12,147,Cool,REGULAR
in fact,7,85,Cool,DEBUTE
Sweet Witches’ Night ～6人目はだぁれ～,29,774,All,Legend_MASTER_PLUS
Sweet Witches’ Night ～6人目はだぁれ～,26,553,All,MASTER
Sweet Witches’ Night ～6人目はだぁれ～,19,381,All,PRO
Sweet Witches’ Night ～6人目はだぁれ～,13,173,All,REGULAR
Sweet Witches’ Night ～6人目はだぁれ～,7,113,All,DEBUTE
夢色ハーモニー,29,777,All,MASTER_PLUS
アタシポンコツアンドロイド,29,822,Cute,MASTER_PLUS
お願い！シンデレラ,25,527,All,MASTER_PLUS
S（mile）ING！,27,627,Cute,MASTER_PLUS
情熱ファンファンファーレ,29,870,Passion,Legend_MASTER_PLUS
情熱ファンファンファーレ,26,700,Passion,MASTER
情熱ファンファンファーレ,19,407,Passion,PRO
情熱ファンファンファーレ,13,187,Passion,REGULAR
情熱ファンファンファーレ,8,101,Passion,DEBUTE
ミラクルテレパシー,26,695,Passion,MASTER
ミラクルテレパシー,19,412,Passion,PRO
ミラクルテレパシー,13,223,Passion,REGULAR
ミラクルテレパシー,7,116,Passion,DEBUTE
流れ星キセキ,29,814,All,MASTER_PLUS
Never say never,27,774,Cool,MASTER_PLUS
Nation Blue,29,835,Cool,MASTER_PLUS
とどけ！アイドル,26,658,All,MASTER_PLUS
桜の頃,29,586,All,Legend_MASTER_PLUS
桜の頃,26,517,All,MASTER
桜の頃,19,346,All,PRO
桜の頃,14,198,All,REGULAR
桜の頃,8,131,All,DEBUTE
ゴキゲンParty Night,29,928,All,MASTER_PLUS
Orange Sapphire,29,918,Passion,MASTER_PLUS
ミツボシ☆☆★,27,805,Passion,MASTER_PLUS
We’re the friends！,26,638,All,MASTER_PLUS
エンジェル ドリーム,26,765,All,MASTER
エンジェル ドリーム,17,349,All,PRO
エンジェル ドリーム,13,226,All,REGULAR
エンジェル ドリーム,9,127,All,DEBUTE
∀NSWER,30,888,All,Legend_MASTER_PLUS
∀NSWER,26,620,All,MASTER
∀NSWER,18,342,All,PRO
∀NSWER,13,201,All,REGULAR
∀NSWER,7,90,All,DEBUTE
Love∞Destiny,29,739,All,MASTER_PLUS
Tulip,30,868,All,MASTER_PLUS
Happy×2 Days,27,661,Cute,MASTER_PLUS
恋のHamburg♪,25,586,Cute,MASTER
恋のHamburg♪,17,324,Cute,PRO
恋のHamburg♪,13,216,Cute,REGULAR
恋のHamburg♪,7,110,Cute,DEBUTE
shabon song,28,674,Cute,Legend_MASTER_PLUS
shabon song,25,573,Cute,MASTER
shabon song,17,295,Cute,PRO
shabon song,13,163,Cute,REGULAR
shabon song,7,82,Cute,DEBUTE
生存本能ヴァルキュリア,30,953,All,MASTER_PLUS
Absolute NIne,30,999,All,MASTER_PLUS
Memories,26,603,Cool,MASTER_PLUS
Nocturne,29,812,Cool,Legend_MASTER_PLUS
Nocturne,26,578,Cool,MASTER
Nocturne,19,419,Cool,PRO
Nocturne,13,187,Cool,REGULAR
Nocturne,8,121,Cool,DEBUTE
純情Midnight伝説,29,927,All,MASTER_PLUS
ハイファイ☆デイズ,28,800,All,MASTER_PLUS
LET’S GO HAPPY！！,29,986,Passion,MASTER_PLUS
共鳴世界の存在論,27,815,Cool,MASTER
共鳴世界の存在論,19,414,Cool,PRO
共鳴世界の存在論,13,200,Cool,REGULAR
共鳴世界の存在論,8,104,Cool,DEBUTE
Nothing but You,29,845,All,Legend_MASTER_PLUS
Nothing but You,26,737,All,MASTER
Nothing but You,17,392,All,PRO
Nothing but You,13,201,All,REGULAR
Nothing but You,7,110,All,DEBUTE
Near to You,29,870,All,MASTER_PLUS
明日また会えるよね,28,820,Cute,MASTER_PLUS
おねだり Shall We ～？,27,683,Cute,MASTER_PLUS
Radio Happy,27,739,Passion,MASTER
Radio Happy,19,394,Passion,PRO
Radio Happy,13,263,Passion,REGULAR
Radio Happy,7,105,Passion,DEBUTE
モーレツ★世直しギルティ！,29,911,Passion,Legend_MASTER_PLUS
モーレツ★世直しギルティ！,26,743,Passion,MASTER
モーレツ★世直しギルティ！,18,443,Passion,PRO
モーレツ★世直しギルティ！,13,207,Passion,REGULAR
モーレツ★世直しギルティ！,7,113,Passion,DEBUTE
咲いてJewel,29,923,Cool,MASTER_PLUS
BEYOND THE STARLi,29,811,All,MASTER_PLUS
TwiLi Sky,27,758,Cool,MASTER_PLUS
この空の下,23,413,Cool,MASTER
この空の下,17,274,Cool,PRO
この空の下,13,119,Cool,REGULAR
この空の下,6,79,Cool,DEBUTE
With Love,28,741,All,Legend_MASTER_PLUS
With Love,25,565,All,MASTER
With Love,16,295,All,PRO
With Love,12,159,All,REGULAR
With Love,6,89,All,DEBUTE
きみにいっぱい☆,28,831,Passion,MASTER_PLUS
サマカニ！！,30,979,All,MASTER_PLUS
DOKIDOKIリズム,28,825,Passion,MASTER_PLUS
ラブレター,29,793,Cute,MASTER_PLUS
EVERMORE,29,859,All,MASTER_PLUS
Yes！ Party Time！！,29,974,All,Legend_MASTER_PLUS
Yes！ Party Time！！,25,688,All,MASTER
Yes！ Party Time！！,19,405,All,PRO
Yes！ Party Time！！,13,213,All,REGULAR
Yes！ Party Time！！,8,137,All,DEBUTE
Star！！,30,950,All,MASTER_PLUS
To my darling...,24,500,Cute,MASTER
To my darling...,17,350,Cute,PRO
To my darling...,13,200,Cute,REGULAR
To my darling...,7,100,Cute,DEBUTE
リトルリドル,29,770,All,Legend_MASTER_PLUS
リトルリドル,26,652,All,MASTER
リトルリドル,18,411,All,PRO
リトルリドル,14,233,All,REGULAR
リトルリドル,8,121,All,DEBUTE
STORY,28,766,All,MASTER_PLUS
Jet to the Future,29,804,Cool,MASTER_PLUS
Snow Wings,30,862,All,MASTER_PLUS
Flip Flop,29,864,Passion,MASTER_PLUS
命燃やして恋せよ乙女,29,738,All,MASTER_PLUS
輝く世界の魔法,28,702,All,MASTER_PLUS
Kawaii make MY day！,29,830,Cute,Legend_MASTER_PLUS
Kawaii make MY day！,26,661,Cute,MASTER
Kawaii make MY day！,18,376,Cute,PRO
Kawaii make MY day！,14,225,Cute,REGULAR
Kawaii make MY day！,8,126,Cute,DEBUTE
みんなのきもち,24,560,Passion,MASTER
みんなのきもち,17,316,Passion,PRO
みんなのきもち,12,153,Passion,REGULAR
みんなのきもち,6,85,Passion,DEBUTE
あいくるしい,28,656,All,MASTER_PLUS
風色メロディ,27,512,Cute,MASTER_PLUS
Take me☆Take you,27,856,All,Legend_MASTER_PLUS
Take me☆Take you,24,570,All,MASTER
Take me☆Take you,18,381,All,PRO
Take me☆Take you,13,183,All,REGULAR
Take me☆Take you,7,98,All,DEBUTE
Lunatic Show,29,788,Cool,MASTER_PLUS
華蕾夢ミル狂詩曲 ～魂ノ導～,29,950,Cool,MASTER_PLUS
双翼の独奏歌,30,915,Cool,Legend_MASTER_PLUS
双翼の独奏歌,27,699,Cool,MASTER
双翼の独奏歌,19,386,Cool,PRO
双翼の独奏歌,14,228,Cool,REGULAR
双翼の独奏歌,9,166,Cool,DEBUTE
Sweet Witches’ Night ～6人目はだぁれ～,29,788,All,MASTER_PLUS
ましゅまろ☆キッス,27,745,Passion,MASTER_PLUS
Wonder goes on！！,25,640,All,MASTER
Wonder goes on！！,18,466,All,PRO
Wonder goes on！！,13,257,All,REGULAR
Wonder goes on！！,8,121,All,DEBUTE
イリュージョニスタ！,29,821,All,Legend_MASTER_PLUS
イリュージョニスタ！,26,743,All,MASTER
イリュージョニスタ！,19,377,All,PRO
イリュージョニスタ！,14,262,All,REGULAR
イリュージョニスタ！,9,168,All,DEBUTE
こいかぜ,26,636,Cool,MASTER
